case_id,image_size_x,image_size_y,image_size_z,spacing_x_mm,spacing_y_mm,spacing_z_mm,label_size_x,label_size_y,label_size_z,same_size,same_spacing
047,512,512,193,0.7480469942092896,0.7480469942092896,1.2500052452087402,512,512,193,True,True
048,512,512,414,0.8828125,0.8828125,0.800000011920929,512,512,414,True,True
049,512,512,350,0.767578125,0.767578125,0.79998779296875,512,512,350,True,True
050,512,345,326,0.68359375,0.68359375,0.8000000715255737,512,345,326,True,True
051,512,512,350,0.8579999804496765,0.8579999804496765,0.800048828125,512,512,350,True,True
052,512,512,350,0.8659999966621399,0.8659999966621399,0.7989501953125,512,512,350,True,True
053,512,512,255,0.78125,0.78125,1.0,512,512,255,True,True
054,512,512,301,0.833984375,0.833984375,1.0,512,512,301,True,True
055,512,512,241,0.828125,0.828125,1.0,512,512,241,True,True
056,512,304,285,0.77734375,0.77734375,1.0,512,304,285,True,True
057,429,318,341,0.970703125,0.970703125,1.0,429,318,341,True,True
058,437,287,311,0.94140625,0.94140625,1.0,437,287,311,True,True
059,512,512,332,0.873046875,0.873046875,0.7999801635742188,512,512,332,True,True
060,418,266,333,0.8579999804496765,0.8579999804496765,0.800000011920929,418,266,333,True,True
061,512,512,350,0.7850000262260437,0.7850000262260437,0.7989501953125,512,512,350,True,True
062,511,280,303,0.783203125,0.783203125,1.0,511,280,303,True,True
063,512,240,271,0.806640625,0.806640625,1.0,512,240,271,True,True
064,512,512,350,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350,True,True
065,512,512,350,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350,True,True
066,512,512,254,0.783203125,0.783203125,1.0,512,512,254,True,True
067,512,231,369,0.9039999842643738,0.9039999842643738,0.7999989986419678,512,231,369,True,True
068,512,512,350,0.8119999766349792,0.8119999766349792,0.7989501953125,512,512,350,True,True
069,512,512,350,0.9039999842643738,0.9039999842643738,0.800048828125,512,512,350,True,True
070,512,512,350,0.6620000004768372,0.6620000004768372,0.800048828125,512,512,350,True,True
071,351,209,319,0.9296875,0.9296875,0.800000011920929,351,209,319,True,True
072,403,301,267,0.8203125,0.8203125,1.0,403,301,267,True,True
073,512,512,329,0.78125,0.78125,0.800048828125,512,512,329,True,True
074,512,512,326,0.9760000109672546,0.9760000109672546,0.801025390625,512,512,326,True,True
075,512,512,294,0.853515625,0.853515625,1.0,512,512,294,True,True
076,512,512,350,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350,True,True
077,512,512,350,0.7239999771118164,0.7239999771118164,0.800048828125,512,512,350,True,True
078,458,249,388,0.8429999947547913,0.8429999947547913,0.7999267578125,458,249,388,True,True
079,471,275,268,0.693359375,0.693359375,1.0,471,275,268,True,True
080,512,512,353,0.775390625,0.775390625,1.0,512,512,353,True,True
081,416,268,342,0.796999990940094,0.796999990940094,0.800000011920929,416,268,342,True,True
082,512,305,312,0.8125,0.8125,1.0,512,305,312,True,True
083,512,512,350,0.748046875,0.748046875,0.79998779296875,512,512,350,True,True
084,512,512,268,0.849609375,0.849609375,1.0,512,512,268,True,True
085,413,235,356,0.9140625,0.9140625,0.8000000715255737,413,235,356,True,True
086,512,283,265,0.658203125,0.658203125,1.0,512,283,265,True,True
087,462,295,312,0.80859375,0.80859375,0.800000011920929,462,295,312,True,True
088,499,251,406,0.890625,0.890625,0.800000011920929,499,251,406,True,True
089,512,512,291,0.775390625,0.775390625,1.0,512,512,291,True,True
090,512,512,301,0.9760000109672546,0.9760000109672546,0.801025390625,512,512,301,True,True
091,512,512,274,0.6953125,0.6953125,1.0,512,512,274,True,True
092,512,512,293,0.880859375,0.880859375,1.0,512,512,293,True,True
093,512,512,325,0.763671875,0.763671875,1.0,512,512,325,True,True
094,512,512,313,0.9760000109672546,0.9760000109672546,0.7989501953125,512,512,313,True,True
095,512,512,257,0.6796875,0.6796875,1.0,512,512,257,True,True
096,512,512,350,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350,True,True
097,512,512,300,0.87890625,0.87890625,1.0,512,512,300,True,True
098,512,512,350,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350,True,True
099,459,238,286,0.779296875,0.779296875,1.0,459,238,286,True,True
100,512,512,350,0.8659999966621399,0.8659999966621399,0.801025390625,512,512,350,True,True
